pseudo	target_pseudo	common_tweet	common_ngram
fbl180	Quisuisje13	13	167
feecloc90367787	Quisuisje13	13	167
FerdinandSauser	Quisuisje13	13	167
FranceRsistanc1	Quisuisje13	13	167
HeleneMichel16	Quisuisje13	13	167
herve_ferrant	Quisuisje13	13	167
Humanite_Danger	Quisuisje13	13	167
ilsjos	Quisuisje13	13	167
InfoMdia	Quisuisje13	13	167
IOANIDIS1	Quisuisje13	13	167
isabelledu7121	Quisuisje13	13	167
janyabadi	Quisuisje13	13	167
jean_garrec	Quisuisje13	13	167
JeanBN3	Quisuisje13	13	167
JeanneKarp	Quisuisje13	13	167
JpTrebor	Quisuisje13	13	167
jsp1963	ExoPortail	13	240
Kernunnos	conspjustice	13	217
kittylt	LevyLoiseau	13	279
Krieger66362259	LevyLoiseau	13	237
languillem	laurent_daniel	13	172
laurent_daniel	languillem	13	172
LeNidAigle3	Barberis888	13	199
LevyLoiseau	badiramour	13	165
LevyLoiseau	kittylt	13	279
LevyLoiseau	Krieger66362259	13	237
LucPasteur1	Quisuisje13	13	167
Makavdella	Quisuisje13	13	167
MBentabd	Quisuisje13	13	167
monzrc	Quisuisje13	13	167
NIBECAPA	Quisuisje13	13	167
pierrezt	Quisuisje13	13	167
QincCa	Quisuisje13	13	167
Quisuisje13	361Yra	13	167
Quisuisje13	androctone	13	167
Quisuisje13	AponiLife	13	167
Quisuisje13	Arlettedaix13	13	167
Quisuisje13	AumassonNorbert	13	167
Quisuisje13	BenjaminLvy	13	167
Quisuisje13	cherifat	13	167
Quisuisje13	cma19600	13	167
Quisuisje13	DespaigneElyane	13	167
Quisuisje13	estherPajars2	13	167
Quisuisje13	EtienneVivet	13	167
Quisuisje13	fbl180	13	167
Quisuisje13	feecloc90367787	13	167
Quisuisje13	FerdinandSauser	13	167
Quisuisje13	FranceRsistanc1	13	167
Quisuisje13	HeleneMichel16	13	167
Quisuisje13	herve_ferrant	13	167
Quisuisje13	Humanite_Danger	13	167
Quisuisje13	ilsjos	13	167
Quisuisje13	InfoMdia	13	167
Quisuisje13	IOANIDIS1	13	167
Quisuisje13	isabelledu7121	13	167
Quisuisje13	janyabadi	13	167
Quisuisje13	jean_garrec	13	167
Quisuisje13	JeanBN3	13	167
Quisuisje13	JeanneKarp	13	167
Quisuisje13	JpTrebor	13	167
Quisuisje13	LucPasteur1	13	167
Quisuisje13	Makavdella	13	167
Quisuisje13	MBentabd	13	167
Quisuisje13	monzrc	13	167
Quisuisje13	NIBECAPA	13	167
Quisuisje13	pierrezt	13	167
Quisuisje13	QincCa	13	167
Quisuisje13	reis_cidalia	13	167
Quisuisje13	RhoddeNathalie	13	167
Quisuisje13	rochtorret	13	167
Quisuisje13	RouchVanessa	13	167
Quisuisje13	saphirebene	13	167
Quisuisje13	scientificbrown	13	167
Quisuisje13	Sephite7	13	167
Quisuisje13	StPierreLise2	13	167
Quisuisje13	sybilleverlac	13	167
Quisuisje13	thomb1997F	13	143
Quisuisje13	ThomLePaladin	13	167
Quisuisje13	VIKING13100	13	167
Quisuisje13	YellowFlagsInf1	13	167
Quisuisje13	YTHEZE	13	167
Quisuisje13	YvThiebaut	13	167
Quisuisje13	ZeganadinClaud1	13	167
reis_cidalia	Quisuisje13	13	167
RhoddeNathalie	Quisuisje13	13	167
rochtorret	Quisuisje13	13	167
RouchVanessa	Quisuisje13	13	167
saphirebene	Quisuisje13	13	167
scientificbrown	Quisuisje13	13	167
Sephite7	Quisuisje13	13	167
StPierreLise2	Quisuisje13	13	167
sybilleverlac	Quisuisje13	13	167
thomb1997F	Quisuisje13	13	143
ThomLePaladin	Quisuisje13	13	167
VIKING13100	Quisuisje13	13	167
YellowFlagsInf1	Quisuisje13	13	167
YTHEZE	Quisuisje13	13	167
YvThiebaut	Quisuisje13	13	167
ZeganadinClaud1	Quisuisje13	13	167
AnneIbiza13	conspjustice	12	188
Artanagot	FranceRsistanc1	12	252
AtemAknamkanon	RadioLachine	12	132
AubeDigitale	LevyLoiseau	12	254
Barberis888	DrunkpaMaster	12	171
conspjustice	AnneIbiza13	12	188
conspjustice	GrobisR	12	176
conspjustice	Krieger66362259	12	170
conspjustice	orphee45	12	178
conspjustice	PERLOU55	12	168
conspjustice	Thaghost33	12	172
Diamantlugo	kha_V_dag	12	135
DrunkpaMaster	Barberis888	12	171
FranceRsistanc1	Artanagot	12	252
FranceRsistanc1	SaN20140650	12	252
GilbertAveugle	IrishCo82996599	12	159
GrobisR	conspjustice	12	176
IrishCo82996599	GilbertAveugle	12	159
kha_V_dag	Diamantlugo	12	135
Krieger66362259	conspjustice	12	170
LevyLoiseau	AubeDigitale	12	254
LevyLoiseau	reseau_internat	12	233
marielenbenede	Rakiko_Hime	12	303
orphee45	conspjustice	12	178
PERLOU55	conspjustice	12	168
RadioLachine	AtemAknamkanon	12	132
Rakiko_Hime	marielenbenede	12	303
reseau_internat	LevyLoiseau	12	233
SaN20140650	FranceRsistanc1	12	252
Thaghost33	conspjustice	12	172
babibelle33	badiramour	11	165
badiramour	babibelle33	11	165
badiramour	laizet2	11	143
Barberis888	daventure1	11	147
Barberis888	LevyLoiseau	11	210
Barberis888	reseau_internat	11	207
conspjustice	fulberti_laving	11	165
conspjustice	marielenbenede	11	229
conspjustice	yannick_stopyra	11	155
daventure1	Barberis888	11	147
Franois592	IOANIDIS1	11	121
Franois592	PkkWalter	11	121
fulberti_laving	conspjustice	11	165
IOANIDIS1	Franois592	11	121
Krieger66362259	Planetes360	11	159
laizet2	badiramour	11	143
LevyLoiseau	Barberis888	11	210
LevyLoiseau	Nova153	11	237
marielenbenede	conspjustice	11	229
Nova153	LevyLoiseau	11	237
PkkWalter	Franois592	11	121
Planetes360	Krieger66362259	11	159
Rakiko_Hime	Thaghost33	11	150
reseau_internat	Barberis888	11	207
Thaghost33	Rakiko_Hime	11	150
yannick_stopyra	conspjustice	11	155
AbbeToniere	Alicesweatdream	10	120
ACcilia4	Alicesweatdream	10	120
AdrRv	Alicesweatdream	10	120
Alicesweatdream	AbbeToniere	10	120
Alicesweatdream	ACcilia4	10	120
Alicesweatdream	AdrRv	10	120
Alicesweatdream	alixmarielle	10	110
Alicesweatdream	AMaddy2	10	120
Alicesweatdream	andreaventura01	10	120
Alicesweatdream	AnnePFLEGER	10	120
Alicesweatdream	ArianeWalter	10	120
Alicesweatdream	aysegul_koker	10	120
Alicesweatdream	babibelle33	10	120
Alicesweatdream	Bassinrebel	10	120
Alicesweatdream	Bruno_Level	10	120
Alicesweatdream	carcajou76865	10	120
Alicesweatdream	Carojacob2	10	120
Alicesweatdream	carou68	10	120
Alicesweatdream	cherifo62	10	120
Alicesweatdream	chrisfrayt	10	120
Alicesweatdream	DanielleThurel	10	120
Alicesweatdream	DeMolay82619496	10	120
Alicesweatdream	denmoi1	10	120
Alicesweatdream	DespaigneElyane	10	120
Alicesweatdream	DIACONESCOTV	10	120
Alicesweatdream	DialloLexdex12	10	120
Alicesweatdream	didiergildas	10	120
Alicesweatdream	Disciple2Dieu	10	120
Alicesweatdream	djipipi	10	120
Alicesweatdream	DrIsalinares	10	120
Alicesweatdream	DrunkpaMaster	10	120
Alicesweatdream	EcologieRive	10	120
Alicesweatdream	ecureuil1065	10	120
Alicesweatdream	ElisabethFaure1	10	130
Alicesweatdream	ELLETW6	10	120
Alicesweatdream	eustache_luigy	10	120
Alicesweatdream	fbl180	10	120
Alicesweatdream	floscorpion	10	120
Alicesweatdream	Foggy996	10	110
Alicesweatdream	FranceRsistanc1	10	120
Alicesweatdream	FREYERMUTHHube1	10	120
Alicesweatdream	fulberti_laving	10	120
Alicesweatdream	haltebourg1	10	120
Alicesweatdream	herve_ferrant	10	120
Alicesweatdream	JacquesBoin	10	120
Alicesweatdream	JahardF	10	120
Alicesweatdream	JANVIERClaude1	10	120
Alicesweatdream	JanvierGeorgia	10	120
Alicesweatdream	JBaht	10	120
Alicesweatdream	jeannick_odier	10	120
Alicesweatdream	jeanpaulalain	10	120
Alicesweatdream	KabeAzem	10	120
Alicesweatdream	Kamalstar1979	10	120
Alicesweatdream	KESTUDIDOUDOU	10	120
Alicesweatdream	Krieger66362259	10	120
Alicesweatdream	laizet2	10	120
Alicesweatdream	Langoisse4	10	120
Alicesweatdream	lavenircnous	10	120
Alicesweatdream	lucydix_t	10	120
Alicesweatdream	majormedben	10	120
Alicesweatdream	marielenbenede	10	120
Alicesweatdream	MARTELCharles13	10	120
Alicesweatdream	MERLINCLUBHOUSE	10	120
Alicesweatdream	MMair13	10	120
Alicesweatdream	NazratatReig06	10	120
Alicesweatdream	ouiza8	10	120
Alicesweatdream	Pacharlotte3	10	120
Alicesweatdream	perlenacre2	10	120
Alicesweatdream	PierreAFontaine	10	120
Alicesweatdream	Rakiko_Hime	10	120
Alicesweatdream	RaldaEsmee	10	120
